# ----------------------------------------
# melissani-cave.com - GA4
# Adsense per page-Free-form 1
# 20240708-20250708
# ----------------------------------------

Landing page + query string,Total ad revenue,Views
/opening-hours?fbclid=IwY2xjawEokYhleHRuA2FlbQIxMQABHRuaE2aS_9ogNL05YiBd2bG3vB37ajQ99rAAIuAUHNJ2f_wq6Qr5Z-qdGw_aem_XOklXqKZ0s7T69HC_E650w,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTAAAR2owfUKsrHLYVwh5EQFg1474RIORNypN02wWN1XEW36e5RkVz43egN2428_aem_FIheDenDglGrtJDuy93gsg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR08CyrCdzZbP-81BoMAfE270pIpNfLmd35xA5kgT1sFPko8ReX74m8XjcQ_aem_KyyErTJBYXKRczfVZIev6A,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0FN08wA0srLM7yQIKFdUkfCPJqKESG_fYFpAoTtykHn2P6CGuLpc0MNIg_aem_I5ucHe_b-ddZF-EF673EDw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0G2ckkWydtCzqS-rifQ3nHGHHBclaVyGie9OA_C7rGFpBg5fxrpJNlII8_aem_ad29gUujoRwfIQSja7nn-g,0,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0J_yEz2S-CTYbsJrYKPIwV7W3W27H2haTXZnYGz2vSvg4jnaOLYhV7-vk_aem_jhb1vhGMBUvbT801i-3TAg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0LtXjyKo0H211gTzvKnMem5YP2Q83duFRmVx4T5Kx0kGguJscepXJfYoY_aem_NolgMCLgMc8W9Qo-fapAog,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0dJ4Wj9bS-PKsYNE1DCq9SDt3gDeug_P5Ql6ouzskdDHFvjo_7WzHR-F4_aem_lvRIRwfaWSCKbqoWqN_OlA,0,3
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR0twpyESd1ZlNBrsjXLV5BuKBrI7sEVgdmn4BYL1VLOjY5Qs0V-2ENvQeQ_aem_J7IYFSzWRMW1qRJEaP4ZLA,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR136Yg6q_tnWiM-y_1hghCuS0xoLDMFP9z2OrQpA4yUdScJZtzaD36Zh6I_aem_ivZETFpiMfA4_WMY9r1Dpw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR13RS3eUx2F-qToHvmAMk51tnU7IaC-LlaLttgAQ_68YP_SkY7I_gPo9ys_aem_nb3LyXwLqqDmsHxJxTEwBQ,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1IjYIZqEl4-iCC3qy3syzNRGwN8gCeh5-tUyDXiOdq5Xvhr-4Ep_NbjVg_aem_5_vbbZCw_qe8FJojEydu3Q,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1Kg8CzGWjW5ecMK64rn6chjQxyPovsxHhT2z_oFbyqdF-A6n6SzW_UiiE_aem_jy-cvR0vf8AxLMsNQzqixg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1Q1xtRhpPHn6YQx6_sdVE3i65VVGdNJeX8vvQjo7JqoAmu6xsEwIEf7wk_aem_igP-QxDtngho-iNUQgHbiw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1XVcZW9xeD1FE2X8KCqNVHLmcSzMGo-eD_R5aEIT2kxaLG_bcu6IFGOFc_aem_PBJuZ1MvA-QC4kFnjbfqew,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1dGRWj3IkxtouRonoD7cqrQcDuic8OgJpsbkYUGgDxUrWtK4xxxgRxFvA_aem_jpulMSB4sI6RRqpXmBZrfA,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1o7ac700yVsD1Q3nnVFH8J8wYzepQWfuKhgt4x0VpST8RKB-FWBY4fJeQ_aem_Gh3XyhO7EzMqEhpfMm_lqQ,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR1pJk-TfWVeQ42wl6kaUgOkfjR-zHAVXkEifwEodSEtwUvTD8kQEsy2Ot0_aem_SFKktJaeluAjMec2xUUzUw,0,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR226vLqxyo8cQbdmjz38isQCPlSkKOL0tt13WQM4eRO6h5BzoA3l9e4wfg_aem_ZdwCXq9SatASy_jS9K-nRw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR2922RelcDrFJuVKsKgVpWAjyek1N9kCL4uKFLIzlF8BYhjqDT7LrSq9tg_aem_7HxRoYtCBqPD4MFSxVn8Cg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR29hb5K96nbEjlmw24uN2nZQY7mzNMINQLKoTCrcYXjQMDAbeGNl6D7jEY_aem_pyEQEdVWWvouvCtx9q-zNw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR2HapEAtHms2k0ovPxpeV_Kk97H0ui48N2ICD3ZJO2VkSy7iyMMhETEpNE_aem_f7wasCZWzFoFP1SI9Bfpfg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR2JBrnYvRqNErPOgdipx1mDdZad1lJgwPLsqE2w7mln8FM4Gi30u4kKfx0_aem_a85R-e3u8mLLQBh8n7DUag,0,1
